,E3A10_VenB145-014,E3A11_VenB145-014,E3A12_VenB145-014,E3B1_VenB145-014,E3B2_VenB145-014,E3B3_VenB145-014,E3B4_VenB145-014,E3B5_VenB145-014,E3B6_VenB145-014,E3B7_VenB145-014,E3B8_VenB145-014,E3B9_VenB145-014,E3B10_VenB145-014,E3B11_VenB145-014,E3B12_VenB145-014,E3C1_VenB145-014
0.07333333333333333,0.0023692846298217773,0.00321120023727417,0.011585652828216553,0.005893409252166748,-0.008657574653625488,-0.020965933799743652,-0.05710124969482422,-0.07915496826171875,-0.07206946611404419,-0.06400048732757568,-0.06867945194244385,-0.05920976400375366,-0.05358457565307617,-0.0489354133605957,-0.04871934652328491,-0.05824863910675049
0.08,0.0029727816581726074,0.0029206275939941406,0.010229647159576416,0.005342066287994385,-0.009469687938690186,-0.020697712898254395,-0.057213008403778076,-0.07974356412887573,-0.07424503564834595,-0.06546825170516968,-0.06974488496780396,-0.059738755226135254,-0.05491077899932861,-0.049874186515808105,-0.04949420690536499,-0.05982816219329834
0.08666666666666667,0.003330409526824951,0.002808868885040283,0.009156763553619385,0.004708766937255859,-0.01029670238494873,-0.0203549861907959,-0.057853758335113525,-0.08032470941543579,-0.07648766040802002,-0.06721913814544678,-0.07067620754241943,-0.060304999351501465,-0.05621463060379028,-0.050731003284454346,-0.050671398639678955,-0.06130337715148926
0.09333333333333334,0.003546476364135742,0.0026598572731018066,0.008456408977508545,0.004030764102935791,-0.010654330253601074,-0.02043694257736206,-0.05872547626495361,-0.080890953540802,-0.0782012939453125,-0.06873160600662231,-0.07144361734390259,-0.060655176639556885,-0.05748867988586426,-0.05154311656951904,-0.05207955837249756,-0.062599778175354
0.1,0.0037848949432373047,0.002346932888031006,0.008098781108856201,0.0034794211387634277,-0.010721385478973389,-0.02074986696243286,-0.05961209535598755,-0.08145719766616821,-0.0790134072303772,-0.07002800703048706,-0.07218867540359497,-0.06046891212463379,-0.05864351987838745,-0.05248934030532837,-0.05340576171875,-0.06332248449325562
0.10666666666666667,0.003635883331298828,0.001989305019378662,0.007912516593933105,0.003337860107421875,-0.010870397090911865,-0.021129846572875977,-0.06097555160522461,-0.08205324411392212,-0.07922947406768799,-0.07127225399017334,-0.07274001836776733,-0.06003677845001221,-0.059448182582855225,-0.05325675010681152,-0.05443394184112549,-0.06359070539474487
0.11333333333333333,0.002868473529815674,0.0017583370208740234,0.008285045623779297,0.0035315752029418945,-0.011280179023742676,-0.021696090698242188,-0.0626295804977417,-0.08275359869003296,-0.07919222116470337,-0.07262825965881348,-0.07306784391403198,-0.059641897678375244,-0.06012618541717529,-0.053860247135162354,-0.05526095628738403,-0.06404519081115723
0.12,0.0020936131477355957,0.0017583370208740234,0.009052455425262451,0.004082918167114258,-0.011742115020751953,-0.0227317214012146,-0.06394833326339722,-0.08369237184524536,-0.07931143045425415,-0.07361918687820435,-0.07331371307373047,-0.05943328142166138,-0.06081908941268921,-0.054463744163513184,-0.05571544170379639,-0.06496161222457886
0.12666666666666668,0.0016763806343078613,0.0018775463104248047,0.009417533874511719,0.004522502422332764,-0.012308359146118164,-0.02386420965194702,-0.06433576345443726,-0.08518248796463013,-0.07975846529006958,-0.07379800081253052,-0.07382035255432129,-0.05920976400375366,-0.061377882957458496,-0.05523860454559326,-0.05579739809036255,-0.06632506847381592
0.13333333333333333,0.001564621925354004,0.0022202730178833008,0.009275972843170166,0.004395842552185059,-0.013299286365509033,-0.024631619453430176,-0.06417930126190186,-0.08671730756759644,-0.08016079664230347,-0.07339566946029663,-0.07448345422744751,-0.05932897329330444,-0.06169825792312622,-0.05587190389633179,-0.05573779344558716,-0.06759911775588989
0.14,0.0011995434761047363,0.0023543834686279297,0.008791685104370117,0.004172325134277344,-0.014349818229675293,-0.025220215320587158,-0.06396323442459106,-0.08848309516906738,-0.08067488670349121,-0.07271021604537964,-0.07522851228713989,-0.06000697612762451,-0.06233900785446167,-0.05654245615005493,-0.0559687614440918,-0.0689476728439331
0.14666666666666667,0.0004470348358154297,0.002205371856689453,0.008210539817810059,0.0040978193283081055,-0.015184283256530762,-0.025644898414611816,-0.06394088268280029,-0.09035319089889526,-0.08153170347213745,-0.0717267394065857,-0.07608532905578613,-0.061377882957458496,-0.06337463855743408,-0.05742162466049194,-0.05673617124557495,-0.07043033838272095
0.15333333333333332,-0.00023096799850463867,0.0015944242477416992,0.0073909759521484375,0.003948807716369629,-0.015720725059509277,-0.026114284992218018,-0.06423145532608032,-0.09191036224365234,-0.0825151801109314,-0.07058680057525635,-0.07724761962890625,-0.06320327520370483,-0.06433576345443726,-0.058360397815704346,-0.05772709846496582,-0.07130205631256104
0.16,-0.0008344650268554688,0.0007674098014831543,0.006563961505889893,0.003330409526824951,-0.01592189073562622,-0.02697855234146118,-0.06502121686935425,-0.09291619062423706,-0.08299201726913452,-0.06975233554840088,-0.07849931716918945,-0.06520003080368042,-0.06479769945144653,-0.05940347909927368,-0.05875527858734131,-0.07145106792449951
0.16666666666666666,-0.0017285346984863281,-0.0001862645149230957,0.006109476089477539,0.0023096799850463867,-0.01586228609085083,-0.028349459171295166,-0.06601214408874512,-0.09328871965408325,-0.08277595043182373,-0.06972998380661011,-0.07943809032440186,-0.06737560033798218,-0.06496161222457886,-0.06043165922164917,-0.05958974361419678,-0.07115304470062256
0.17333333333333334,-0.003032386302947998,-0.0011026859283447266,0.005595386028289795,0.0015497207641601562,-0.01589953899383545,-0.02987682819366455,-0.06713718175888062,-0.09382516145706177,-0.08259713649749756,-0.07078051567077637,-0.07994472980499268,-0.06914138793945312,-0.06517767906188965,-0.06143748760223389,-0.060424208641052246,-0.07140636444091797
0.18,-0.004239380359649658,-0.0014454126358032227,0.004686415195465088,0.0008344650268554688,-0.016458332538604736,-0.030800700187683105,-0.06826221942901611,-0.09425729513168335,-0.0826716423034668,-0.0724494457244873,-0.08004903793334961,-0.07024407386779785,-0.06534159183502197,-0.0621303915977478,-0.06123632192611694,-0.07211416959762573
